date,portfolio_value,action,price
2025-09-29,10000,HOLD,0
2025-09-30,10000,HOLD,0
2025-10-01,10000,HOLD,0
2025-10-02,10000,HOLD,0
2025-10-03,10000,HOLD,0
2025-10-06,10000,HOLD,0
2025-10-07,10000,HOLD,0
2025-10-08,10000,HOLD,0
2025-10-09,10000,HOLD,0
2025-10-10,10000,HOLD,0
2025-10-13,10000,HOLD,0
2025-10-14,10000,HOLD,0
2025-10-15,10000,HOLD,0
2025-10-16,10000,HOLD,0
2025-10-17,10000,HOLD,0
2025-10-20,10000,HOLD,0
2025-10-21,10000,HOLD,0
2025-10-22,10000,HOLD,0
2025-10-23,10000,HOLD,0
2025-10-24,10000,HOLD,0
2025-10-27,10000,HOLD,0
2025-10-28,10000,HOLD,0
2025-10-29,10000,HOLD,0
2025-10-30,10000,HOLD,0
2025-10-31,10000,HOLD,0
2025-11-03,10000,HOLD,0
2025-11-04,10000,HOLD,0
2025-11-05,10000,HOLD,0
2025-11-06,10000,HOLD,0
2025-11-07,10000,HOLD,0
2025-11-10,10000,HOLD,0
2025-11-11,10000,HOLD,0
2025-11-12,10000,HOLD,0
2025-11-13,10000,HOLD,0
2025-11-14,10000,HOLD,0
2025-11-17,10000,HOLD,0
2025-11-18,10000,HOLD,0
2025-11-19,10000,HOLD,0
2025-11-20,10000,HOLD,0
2025-11-21,10000,HOLD,0
2025-11-24,10000,HOLD,0
2025-11-25,10000,HOLD,0
2025-11-26,10000,HOLD,0
2025-11-28,10000,HOLD,0
2025-12-01,10000,HOLD,0
2025-12-02,9979.08,HOLD,0
2025-12-03,9979.08,HOLD,0
2025-12-04,9979.08,HOLD,0
2025-12-05,9979.08,HOLD,0
2025-12-08,9979.08,HOLD,0
2025-12-09,9979.08,HOLD,0
