Date,Price,SMA,EMA,RSI,BB_Mid,BB_Upper,BB_Lower,MACD,Signal,Histogram,Stoch_K,Stoch_D,ATR
2025-11-04,444.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025-11-05,462.07,nan,nan,nan,nan,nan,nan,8.19495,nan,nan,nan,nan,nan
2025-11-06,445.91,nan,nan,nan,nan,nan,nan,7.06894,nan,nan,nan,nan,nan
2025-11-07,429.52,nan,nan,nan,nan,nan,nan,7.52692,nan,nan,nan,nan,nan
2025-11-10,445.23,nan,nan,nan,nan,nan,nan,6.51086,nan,nan,nan,nan,nan
2025-11-11,439.62,nan,nan,nan,nan,nan,nan,4.33316,nan,nan,nan,nan,nan
2025-11-12,430.6,nan,nan,nan,nan,nan,nan,3.83078,nan,nan,nan,nan,nan
2025-11-13,401.99,438.367,438.367,nan,438.367,457.815,418.918,2.94601,nan,nan,nan,nan,nan
2025-11-14,404.35,438.827,439.705,nan,438.827,459.13,418.524,1.49973,nan,nan,nan,nan,nan
2025-11-17,408.92,439.618,441.69,nan,439.618,461.915,417.322,-1.9328,4.44206,-6.37486,nan,nan,nan
2025-11-18,401.25,439.721,443.578,nan,439.721,462.397,417.045,-4.4118,2.67129,-7.08309,nan,nan,nan
2025-11-19,403.99,439.926,443.247,nan,439.926,462.538,417.314,-5.93921,0.949188,-6.8884,nan,nan,nan
2025-11-20,395.23,441.263,444.515,48.8676,441.263,464.481,418.044,-7.68005,-0.77666,-6.90339,nan,nan,21.08
2025-11-21,391.09,442.018,446.786,51.3387,442.018,467.612,416.425,-8.73788,-2.36891,-6.36898,29.1737,nan,20.3236
2025-11-24,417.78,442.577,446.546,49.7971,442.577,467.853,417.301,-10.1659,-3.9283,-6.23759,46.9814,nan,19.3898
2025-11-25,419.4,443.746,448.024,48.6155,443.746,470.324,417.168,-11.4991,-5.44247,-6.05665,60.6745,45.6099,19.1861
2025-11-26,426.58,444.265,447.823,51.9979,444.265,470.585,417.944,-10.2835,-6.41067,-3.87281,52.5295,53.3952,20.3514
2025-11-28,430.17,445.066,446.08,46.9267,445.066,468.395,421.737,-9.08466,-6.94547,-2.13919,65.3682,59.5241,20.4342
2025-12-01,430.14,445.533,445.999,52.9786,445.533,468.48,422.585,-7.46909,-7.05019,-0.418896,89.1449,69.0142,20.8632
2025-12-02,429.24,446.052,445.391,55.3618,446.052,467.947,424.156,-5.83185,-6.80652,0.974673,54.0141,69.5091,20.4729
2025-12-03,446.74,445.824,443.983,55.6476,445.824,468.256,423.392,-4.48505,-6.34223,1.85718,84.1101,75.7563,19.9427
2025-12-04,454.53,444.486,439.983,48.2297,444.486,473.157,415.815,-3.45053,-5.76389,2.31336,88.3888,75.5043,20.0825
2025-12-05,455,442.738,436.59,53.3755,442.738,476.303,409.173,-1.20468,-4.85205,3.64736,90.117,87.5386,19.9266
2025-12-08,439.58,440.812,433.955,56.7009,440.812,477.365,404.26,1.19003,-3.64363,4.83366,49.3409,75.9489,19.9512
2025-12-09,445.17,438.745,430.84,49.015,438.745,479.136,398.354,3.09015,-2.29687,5.38702,80.339,73.2656,20.2954
2025-12-10,451.45,436.996,428.283,53.9778,436.996,480.132,393.86,3.31357,-1.17479,4.48835,90.5268,73.4022,20.6757
2025-12-11,446.89,434.309,425.135,49.2896,434.309,480.698,387.919,3.89676,-0.160477,4.05724,50.4571,73.7743,21.5103
2025-12-12,458.96,432.177,421.892,45.0189,432.177,482.25,382.104,4.81024,0.833667,3.97657,80.0565,73.6801,21.6903
2025-12-15,475.31,430.445,421.501,49.5327,430.445,479.991,380.899,5.10736,1.68841,3.41896,53.1993,61.2376,21.5804
2025-12-16,489.88,428.388,421.301,48.0167,428.388,476.148,380.627,6.24478,2.59968,3.6451,25.9598,53.0718,20.9582
2025-12-17,467.26,426.641,421.803,45.6002,426.641,471.919,381.363,8.36905,3.75355,4.61549,52.0692,43.7427,20.5875
2025-12-18,483.37,426.144,422.6,38.911,426.144,471.037,381.252,11.1003,5.2229,5.87738,42.7455,40.2582,21.5641
2025-12-19,481.2,424.824,423.318,39.6969,424.824,467.562,382.086,11.3092,6.44015,4.86902,16.7082,37.1743,22.1246
2025-12-22,488.73,422.867,423.882,41.2723,422.867,460.76,384.974,12.6291,7.67794,4.95115,7.26874,22.2408,22.3457
2025-12-23,485.56,422.991,426.059,39.4113,422.991,461.178,384.804,13.3462,8.81159,4.53458,23.628,15.8683,21.836
2025-12-24,485.4,422.614,428.771,40.4444,422.614,459.373,385.855,14.3566,9.92058,4.43599,28.634,19.8436,21.2248
2025-12-26,475.19,423.068,431.269,38.2017,423.068,461.168,384.969,14.7317,10.8828,3.84891,20.2322,24.1648,22.1516
2025-12-29,459.64,423.571,432.06,37.1532,423.571,462.26,384.883,14.845,11.6752,3.16975,23.2336,24.0333,21.9294
2025-12-30,454.43,423.568,433.309,47.2125,423.568,462.25,384.887,13.9501,12.1302,1.81988,13.6379,19.0346,22.5508
2025-12-31,449.72,424.16,435.037,47.7591,424.16,464.145,384.175,11.8495,12.0741,-0.224562,9.81457,15.562,21.9779
2026-01-02,438.07,424.974,436.165,50.2193,424.974,466.099,383.85,9.65314,11.5899,-1.93675,41.3369,21.5965,21.1259
2026-01-05,451.67,427.823,438.336,51.4504,427.823,470.061,385.584,7.44659,10.7612,-3.31464,43.2503,31.4673,20.0976
2026-01-06,432.96,431.371,441.858,51.439,431.371,476.918,385.824,4.70358,9.5497,-4.84612,65.4791,50.0221,19.2599
2026-01-07,431.41,435.419,446.431,51.0718,435.419,486.339,384.499,3.58585,8.35693,-4.77109,70.8461,59.8585,18.9328
2026-01-08,435.8,438.719,448.415,57.4338,438.719,488.905,388.534,1.1767,6.92088,-5.74419,79.3167,71.8807,18.9148
2026-01-09,445.01,442.689,451.744,59.9314,442.689,493.806,391.571,-0.84787,5.36713,-6.215,78.0198,76.0609,18.2237
2026-01-12,448.96,446.987,454.549,60.0836,446.987,495.826,398.148,-2.07422,3.87886,-5.95308,98.1885,85.175,17.437
2026-01-13,447.2,451.869,457.805,52.9749,451.869,496.742,406.996,-2.27667,2.64776,-4.92443,99.8608,92.023,17.6022
