date,close,signal
2025-12-08,443.21,HOLD
2025-12-09,444.72,HOLD
2025-12-10,459.46,HOLD
2025-12-11,436,HOLD
2025-12-12,429.83,HOLD
2025-12-15,453.25,HOLD
2025-12-16,433.09,HOLD
2025-12-17,438.69,HOLD
2025-12-18,435.54,HOLD
2025-12-19,413.49,HOLD
2025-12-22,435.9,HOLD
2025-12-23,429.24,HOLD
2025-12-24,435.15,HOLD
2025-12-26,428.75,HOLD
2025-12-29,439.31,HOLD
2025-12-30,447.43,HOLD
2025-12-31,442.6,HOLD
2026-01-02,438.97,HOLD
2026-01-05,448.98,HOLD
2026-01-06,433.72,HOLD
2026-01-07,452.42,HOLD
2026-01-08,460.55,HOLD
2026-01-09,461.51,HOLD
2026-01-12,440.1,HOLD
2026-01-13,456.56,HOLD
2026-01-14,468.37,HOLD
2026-01-15,444.26,HOLD
2026-01-16,462.07,HOLD
2026-01-20,445.91,HOLD
2026-01-21,429.52,HOLD
2026-01-22,445.23,HOLD
2026-01-23,439.62,HOLD
2026-01-26,430.6,HOLD
2026-01-27,401.99,HOLD
2026-01-28,404.35,HOLD
2026-01-29,408.92,HOLD
2026-01-30,401.25,HOLD
2026-02-02,403.99,HOLD
2026-02-03,395.23,HOLD
2026-02-04,391.09,HOLD
2026-02-05,417.78,HOLD
2026-02-06,419.4,HOLD
2026-02-09,426.58,HOLD
2026-02-10,430.17,HOLD
2026-02-11,430.14,BUY
2026-02-12,429.24,SELL
2026-02-13,446.74,HOLD
2026-02-17,454.53,HOLD
2026-02-18,455,HOLD
2026-02-19,439.58,HOLD
2026-02-20,445.17,HOLD
